Frequency (GHz),Avg_Median,Avg_5_Sigma_Away
1.0,-65.49035978835978,-60.65505114638448
1.02727272727273,-66.41961904761904,-60.3746278659612
1.05454545454545,-66.94124867724868,-62.67703350970018
1.08181818181818,-66.46542857142857,-58.320790123456796
1.10909090909091,-67.33414814814815,-60.36358377425044
1.13636363636364,-68.36260317460317,-64.71807054673721
1.16363636363636,-69.47440211640212,-65.7969241622575
1.19090909090909,-69.89283597883598,-65.77579894179894
1.21818181818182,-68.43398941798941,-64.41781657848325
1.24545454545455,-69.22982010582011,-65.40281834215168
1.27272727272727,-68.80797883597884,-65.18976014109347
1.3,-68.20395767195768,-63.93258201058201
1.32727272727273,-68.52815873015874,-64.66985185185186
1.35454545454545,-55.75552380952381,-51.57250793650793
1.38181818181818,-68.14404232804233,-64.39249029982363
1.40909090909091,-67.70429629629629,-64.7527971781305
1.43636363636364,-69.44184126984126,-66.9862504409171
1.46363636363636,-70.21885714285715,-67.48945679012346
1.49090909090909,-70.6741798941799,-67.82410934744267
1.51818181818182,-70.2891746031746,-68.00204938271605
1.54545454545455,-69.98971428571429,-67.6450405643739
1.57272727272727,-68.58620105820106,-66.91004585537918
1.6,-67.99062433862433,-57.320941798941796
1.62727272727273,-26.705407407407407,-22.020186948853613
1.65454545454545,-69.7773015873016,-67.4716402116402
1.68181818181818,-69.84420105820107,-68.02058553791886
1.70909090909091,-69.5502962962963,-67.66948500881834
1.73636363636364,-69.89803174603175,-68.05498059964727
1.76363636363636,-70.28248677248676,-68.44664902998235
1.79090909090909,-70.10262433862434,-67.96197178130511
1.81818181818182,-70.43322751322751,-68.67904761904762
1.84545454545455,-69.68973544973545,-68.04241622574956
1.87272727272727,-69.97172486772487,-68.49830335097002
1.9,-69.80539682539683,-68.03564373897707
1.92727272727273,-69.68084656084656,-67.86873015873016
1.95454545454545,-69.61463492063491,-67.83077248677249
1.98181818181818,-69.45382010582011,-67.70576014109348
2.00909090909091,-70.03343915343915,-68.4668077601411
2.03636363636364,-69.79407407407408,-67.97218694885362
2.06363636363636,-70.37814814814814,-68.35269841269842
2.09090909090909,-70.26657142857142,-68.55784126984128
2.11818181818182,-70.78685714285714,-69.27491710758378
2.14545454545455,-70.70918518518519,-69.30362962962963
2.17272727272727,-70.85977777777778,-68.63034215167549
2.2,-70.52784126984128,-68.84106878306878
2.22727272727273,-70.72573544973545,-67.97559435626103
2.25454545454545,-70.70524867724868,-68.94674779541445
2.28181818181818,-70.71508994708995,-69.06729453262786
2.30909090909091,-70.61755555555555,-69.10801410934745
2.33636363636364,-70.97683597883598,-69.70424338624339
2.36363636363636,-70.80284656084656,-69.52057142857143
2.39090909090909,-70.78384126984128,-60.10207760141093
2.41818181818182,-69.09934391534391,-55.06634567901235
2.44545454545455,-69.0790582010582,-56.64533686067019
2.47272727272727,-69.07689947089946,-55.30197883597884
2.5,-70.8986455026455,-69.00347795414461
2.52727272727273,-70.91289947089948,-69.24595061728395
2.55454545454545,-70.98741798941799,-69.57357319223986
2.58181818181818,-70.86201058201058,-69.54287477954144
2.60909090909091,-71.25614814814816,-70.19096296296297
2.63636363636364,-71.17960846560847,-69.78375308641976
2.66363636363636,-72.14655026455027,-70.7709770723104
2.69090909090909,-71.85333333333334,-70.3216049382716
2.71818181818182,-72.55365079365079,-71.49218694885361
2.74545454545455,-72.41792592592593,-71.42334038800706
2.77272727272727,-72.60024338624339,-71.19892063492063
2.8,-72.08793650793652,-70.6431040564374
2.82727272727273,-72.06205291005291,-70.62325220458554
2.85454545454545,-71.66179894179893,-70.37042328042328
2.88181818181818,-71.74390476190476,-70.62178835978835
2.90909090909091,-71.36850793650794,-70.28940740740741
2.93636363636364,-72.21334391534391,-71.24715343915344
2.96363636363636,-71.8575873015873,-70.86513580246914
2.99090909090909,-72.86130158730158,-71.91594003527337
3.01818181818182,-72.82915343915343,-71.83047619047619
3.04545454545455,-73.22421164021164,-72.4271569664903
3.07272727272727,-72.91873015873016,-71.62199294532628
3.1,-72.73655026455027,-71.24953086419754
3.12727272727273,-72.64987301587301,-71.5398201058201
3.15454545454545,-72.6535238095238,-71.46728042328043
3.18181818181818,-72.56880423280424,-71.20968606701939
3.20909090909091,-72.93671957671958,-71.87522045855378
3.23636363636364,-66.34790476190477,-58.011537918871255
3.26363636363636,-71.53481481481481,-64.42539682539682
3.29090909090909,-73.22994708994709,-71.95458553791887
3.31818181818182,-72.90025396825396,-71.97598589065255
3.34545454545455,-72.82974603174603,-70.58780599647265
3.37272727272727,-72.66410582010582,-71.58835626102294
3.4,-72.6965291005291,-71.57305467372134
3.42727272727273,-72.6484126984127,-71.30183421516755
3.45454545454545,-72.46881481481482,-71.23107231040565
3.48181818181818,-72.86119576719577,-71.7871746031746
3.50909090909091,-72.79154497354497,-71.8348253968254
3.53636363636364,-73.72158730158729,-72.80848324514992
3.56363636363636,-73.52463492063492,-72.63971428571429
3.59090909090909,-74.00801058201058,-73.09368959435626
3.61818181818182,-73.78790476190477,-72.96672310405643
3.64545454545455,-73.7334708994709,-72.97329453262786
3.67272727272727,-73.53795767195767,-72.22772839506172
3.7,-73.00319576719576,-71.06677601410934
3.72727272727273,-73.17585185185186,-71.96170723104056
3.75454545454545,-72.58653968253968,-71.48147795414462
3.78181818181818,-72.46825396825396,-71.28971781305114
3.80909090909091,-72.24311111111112,-71.17778483245151
3.83636363636364,-72.13295238095239,-70.9003597883598
3.86363636363636,-72.71078306878307,-71.64632098765432
3.89090909090909,-72.79860317460317,-71.77592239858906
3.91818181818182,-72.94186243386244,-71.93618342151676
3.94545454545455,-73.1385291005291,-72.33994003527337
3.97272727272727,-72.97471957671958,-72.03586596119929
4.0,-73.06630687830688,-71.88547795414462
4.02727272727273,-73.26871957671958,-72.05374603174603
4.05454545454545,-73.40312169312169,-72.2683774250441
4.08181818181818,-73.61265608465608,-72.51727689594355
4.10909090909091,-73.6273544973545,-72.57012345679013
4.13636363636364,-74.09359788359788,-73.19804232804233
4.16363636363636,-74.36373544973544,-73.52486419753087
